абаза	абаза́,аба́за
абазам	абаза́м,аба́зам
абазами	абаза́ми,аба́зами
абазах	абаза́х,аба́зах
абази	абази́,аба́зи
абазі	абазі́,аба́зі
абазів	абазі́в,аба́зів
абазу	абазу́,аба́зу
Абдула	Абдула́,Абду́ла
Абдулам	Абдула́м,Абду́лам
Абдулами	Абдула́ми,Абду́лами
Абдулах	Абдула́х,Абду́лах
Абдули	Абдули́,Абду́ли
Абдулі	Абдулі́,Абду́лі
Абдулів	Абдулі́в,Абду́лів
Абдулу	Абдулу́,Абду́лу
Абрамович	Абрамо́вич,Абра́мович
Абрамовича	Абрамо́вича,Абра́мовича
Абрамовичам	Абрамо́вичам,Абра́мовичам
Абрамовичами	Абрамо́вичами,Абра́мовичами
Абрамовичеві	Абрамо́вичеві,Абра́мовичеві
Абрамовичем	Абрамо́вичем,Абра́мовичем
Абрамовичі	Абрамо́вичі,Абра́мовичі
Абрамовичів	Абрамо́вичів,Абра́мовичів
Абрамовичу	Абрамо́вичу,Абра́мовичу
абшитований	абшито́ваний,абши́тований
авансотримачу	авансотримачу́,авансотрима́чу
Август	Авгу́ст,А́вгуст
Августа	Авгу́ста,А́вгуста
Августам	Авгу́стам,А́вгустам
Августами	Авгу́стами,А́вгустами
Августах	Авгу́стах,А́вгустах
Августи	Авгу́сти,А́вгусти
Августин	Августи́н,Авгу́стин
Августина	Августи́на,Авгу́стина
Августине	Августи́не,Авгу́стине
Августині	Августи́ні,Авгу́стині
Августинович	Августино́вич,Августи́нович
Августиновича	Августино́вича,Августи́новича
Августиновичам	Августино́вичам,Августи́новичам
Августиновичами	Августино́вичами,Августи́новичами
Августиновичеві	Августино́вичеві,Августи́новичеві
Августиновичем	Августино́вичем,Августи́новичем
Августиновичі	Августино́вичі,Августи́новичі
Августиновичів	Августино́вичів,Августи́новичів
Августиновичу	Августино́вичу,Августи́новичу
Августину	Августи́ну,Авгу́стину
Августі	Авгу́сті,А́вгусті
Августу	Авгу́сту,А́вгусту
Аверкієва	Аверкі́єва,Аве́ркієва
Аверкієві	Аверкі́єві,Аве́ркієві
